Customer_ID,Customer_Type,Age_Group,Preferred_Product,Orders_Per_Month,Days_Since_Last_Order
CUST1473,New,Young Adult (20-35),Croissant,1.3,5
CUST1474,New,Young Adult (20-35),Croissant,4.7,69
CUST1475,New,Adult (36-55),Cookies,4.8,63
CUST1476,Loyal,Young Adult (20-35),Brownie,0.7,3
CUST1477,New,Senior (56+),Cake,0.6,115
CUST1478,Loyal,Teen (13-19),Chocolate,3.8,106
CUST1479,Loyal,Young Adult (20-35),Brownie,0.8,66
CUST1480,Regular,Senior (56+),Cookies,1.2,87
CUST1481,Regular,Senior (56+),Muffin,3.9,55
CUST1482,Regular,Young Adult (20-35),Jar Cake,3.3,17
CUST1483,Regular,Teen (13-19),Jar Cake,2.2,31
CUST1484,New,Adult (36-55),Croissant,1.9,111
CUST1485,Regular,Teen (13-19),Chocolate,1.5,84
CUST1486,Regular,Young Adult (20-35),Croissant,0.9,47
CUST1487,Regular,Adult (36-55),Cookies,3.2,28
CUST1488,New,Adult (36-55),Cookies,1.8,31
CUST1489,New,Young Adult (20-35),Jar Cake,2.4,24
CUST1490,Loyal,Young Adult (20-35),Croissant,1.2,75
CUST1491,New,Senior (56+),Cake,0.6,109
CUST1492,Regular,Adult (36-55),Cake,1.1,62
CUST1493,New,Adult (36-55),Cookies,1.1,8
CUST1494,Loyal,Young Adult (20-35),Brownie,4.1,70
CUST1495,Loyal,Young Adult (20-35),Brownie,4.8,13
CUST1496,New,Young Adult (20-35),Jar Cake,0.8,19
CUST1497,New,Young Adult (20-35),Jar Cake,3.2,83
CUST1498,Regular,Young Adult (20-35),Jar Cake,0.6,9
CUST1499,New,Young Adult (20-35),Brownie,1.6,10
